slug_name,section,subsection,title,abstract,uri,url,byline,item_type,source,updated_date,created_date,published_date,first_published_date,material_type_facet
21hamas-leaders,World,Middle East,Key Hamas Plotters of Oct. 7 Elude Israel’s Grip on Gaza,"Israel has battered Gaza in its quest to destroy Hamas, without finding the commanders it has named as its most important targets.",nyt://article/51f27d92-9ba7-5c1c-9577-c970387befc2,https://www.nytimes.com/2023/12/21/world/middleeast/hamas-leaders-sinwar-israel-gaza.html,By Ben Hubbard,Article,New York Times,2023-12-21T00:01:26-05:00,2023-12-21T00:01:26-05:00,2023-12-21T00:01:26-05:00,2023-12-21T00:01:26-05:00,News
21guyana-venezuela,World,Americas,"Stakes Change, but an Old Fight Over a Chunk of South America Flares Again","Venezuela’s claim to most of Guyana’s territory has been made against leftists and by leftists. It’s been about colonialism, nationalism, Cold War and oil, and it’s complicating U.S. foreign policy.",nyt://article/5a5c11b8-529e-519d-8844-d9e7b56df197,https://www.nytimes.com/2023/12/21/world/americas/venezuela-guyana.html,By Simon Romero,Article,New York Times,2023-12-21T00:01:20-05:00,2023-12-21T00:01:20-05:00,2023-12-21T00:01:20-05:00,2023-12-21T00:01:20-05:00,News
20israel-hamas-leadall,World,Middle East,Gaza Truce Talks Bog Down Over Disputes on Aid Inspections,"In Cairo and at the U.N., negotiators struggled to come up with plans for pausing the fighting, freeing hostages and speeding up help for Gazans.",nyt://article/ad2806ef-127e-53fe-a3c1-6c110f333c18,https://www.nytimes.com/2023/12/20/world/middleeast/israel-gaza-un.html,"By Farnaz Fassihi, Patrick Kingsley, Aaron Boxerman and Michael Levenson",Article,New York Times,2023-12-20T20:00:17-05:00,2023-12-20T20:00:17-05:00,2023-12-20T20:00:17-05:00,2023-12-20T20:00:17-05:00,News
20xp-brianna,World,Europe,2 Teens Convicted of Murder in Fatal Stabbing of Transgender Girl in England,"A jury found that a boy and a girl, both now 16, murdered Brianna Ghey, 16, who was stabbed 28 times at a park near Manchester in February.",nyt://article/3963d29a-3963-549c-922c-060c2f56f24f,https://www.nytimes.com/2023/12/20/world/europe/brianna-ghey-murder-conviction-manchester.html,By Livia Albeck-Ripka,Article,New York Times,2023-12-20T21:22:46-05:00,2023-12-20T19:39:00-05:00,2023-12-20T19:39:00-05:00,2023-12-20T19:39:00-05:00,News
20israel-hamas-gaza-city-tunnels-IDF,World,Middle East,Israel says it has uncovered tunnels leading to Hamas’s ‘center of power’ in Gaza.,,nyt://article/78d2f6d8-878b-5387-8a0b-2bd886c97b91,https://www.nytimes.com/live/2023/12/20/world/israel-hamas-war-gaza-news/israel-says-it-has-uncovered-tunnels-leading-to-hamass-center-of-power-in-gaza,By Ephrat Livni,Article,New York Times,2023-12-20T21:13:12-05:00,2023-12-20T17:37:40-05:00,2023-12-20T17:37:40-05:00,2023-12-20T17:37:40-05:00,Live Blog Post
20israel-hamas-ford,World,Middle East,U.S. Defense Chief Says Israeli Shift Would Reduce Fears of a Regional War,The Biden administration is urging Israel to phase out high-intensity military missions in Gaza to avoid broader conflict with Iran and others.,nyt://article/a59fd32a-f458-5bd2-91d0-b9b239ab0f3f,https://www.nytimes.com/2023/12/20/world/middleeast/lloyd-austin-israel-hamas-war.html,By Eric Schmitt,Article,New York Times,2023-12-20T20:33:52-05:00,2023-12-20T17:20:49-05:00,2023-12-20T17:20:49-05:00,2023-12-20T17:20:49-05:00,News
20poland-tv,World,Europe,"Refusing to Accept Loss of Power, Polish Right Occupies State TV","The sit-in shut down Poland’s main public news station, a possible harbinger of battles to come as the party voted out of power tries to keep its grip on state institutions.",nyt://article/3c787c88-cd4a-5d80-94e1-227fc3092ca4,https://www.nytimes.com/2023/12/20/world/europe/poland-state-tv-protest.html,By Andrew Higgins,Article,New York Times,2023-12-20T17:17:21-05:00,2023-12-20T16:46:07-05:00,2023-12-20T16:46:07-05:00,2023-12-20T16:46:07-05:00,News
20israel-hamas-bahrain-opposition,World,Middle East,Bahrain detains an opposition figure who criticized the country for joining the U.S. maritime task force.,,nyt://article/f016fd6b-df50-5ae7-959f-dc023e3746dc,https://www.nytimes.com/live/2023/12/20/world/israel-hamas-war-gaza-news/bahrain-detains-opposition-figure-who-criticized-the-country-for-joining-the-us-maritime-task-force,By Vivian Nereim,Article,New York Times,2023-12-20T16:43:58-05:00,2023-12-20T16:43:49-05:00,2023-12-20T16:43:49-05:00,2023-12-20T16:43:49-05:00,Live Blog Post
20israel-hamas-analysis-israeli-force,World,Middle East,"Israel’s deployment of more troops in Gaza signals unshaken intent, experts say.",,nyt://article/3a1f0d42-9b4e-58d2-aab6-bc1c4a7d5144,https://www.nytimes.com/live/2023/12/20/world/israel-hamas-war-gaza-news/israels-deployment-of-more-troops-in-gaza-signals-unshaken-intent-experts-say,By Matthew Mpoke Bigg,Article,New York Times,2023-12-20T15:34:38-05:00,2023-12-20T15:21:25-05:00,2023-12-20T15:21:25-05:00,2023-12-20T15:21:25-05:00,Live Blog Post
20Sudan,World,Africa,Sudan’s Army Faces Scrutiny After Major City Falls to Rival Forces,"The capture by paramilitary forces of Wad Madani, a strategic city in the country’s agricultural region, marks a watershed in the civil war that has upended life in the northeast African nation.",nyt://article/6016b8b9-b38b-56ec-afcf-d92a2b58c5da,https://www.nytimes.com/2023/12/20/world/africa/sudan-army-rsf-wad-madani.html,By Abdi Latif Dahir,Article,New York Times,2023-12-20T19:31:48-05:00,2023-12-20T14:25:50-05:00,2023-12-20T14:25:50-05:00,2023-12-20T14:25:50-05:00,News
